country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",18-02-2025 21:00:00,28.530785,77.271255,OZONE,1.0,133.0,82.0
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",18-02-2025 21:00:00,28.623763,77.287209,PM2.5,30.0,308.0,192.0
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",18-02-2025 21:00:00,28.623763,77.287209,NO2,25.0,122.0,81.0
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",18-02-2025 21:00:00,28.674045,77.131023,PM2.5,45.0,351.0,201.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",18-02-2025 21:00:00,28.7762,77.051074,NH3,6.0,10.0,8.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",18-02-2025 21:00:00,28.7762,77.051074,SO2,11.0,22.0,15.0
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",18-02-2025 21:00:00,28.7256504,77.2011573,NO2,16.0,24.0,20.0
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",18-02-2025 21:00:00,28.656756,77.227234,CO,96.0,121.0,109.0
India,Delhi,Delhi,"DTU, Delhi - CPCB",18-02-2025 21:00:00,28.7500499,77.1112615,NH3,11.0,19.0,14.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.647622,77.315809,SO2,,,
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.647622,77.315809,CO,12.0,146.0,62.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",18-02-2025 21:00:00,28.695381,77.181665,OZONE,1.0,128.0,79.0
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",18-02-2025 21:00:00,28.4706914,77.1099364,NO2,18.0,57.0,34.0
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",18-02-2025 21:00:00,28.4706914,77.1099364,CO,42.0,105.0,65.0
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",18-02-2025 21:00:00,28.5710274,77.0719006,NH3,11.0,21.0,17.0
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",18-02-2025 21:00:00,28.5627763,77.1180053,NO2,33.0,71.0,53.0
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",18-02-2025 21:00:00,28.6811736,77.3025234,PM2.5,,,
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",18-02-2025 21:00:00,28.6811736,77.3025234,SO2,,,
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",18-02-2025 21:00:00,28.6811736,77.3025234,OZONE,15.0,57.0,42.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",18-02-2025 21:00:00,28.628624,77.24106,NO2,30.0,322.0,153.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",18-02-2025 21:00:00,28.73282,77.170633,PM10,101.0,412.0,227.0
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",18-02-2025 21:00:00,28.58028,77.233829,SO2,1.0,35.0,12.0
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",18-02-2025 21:00:00,28.588333,77.221667,NO2,65.0,117.0,84.0
India,Delhi,Delhi,"Rohini, Delhi - DPCC",18-02-2025 21:00:00,28.732528,77.11992,NO2,23.0,112.0,71.0
India,Delhi,Delhi,"Rohini, Delhi - DPCC",18-02-2025 21:00:00,28.732528,77.11992,NH3,10.0,18.0,14.0
India,Delhi,Delhi,"Rohini, Delhi - DPCC",18-02-2025 21:00:00,28.732528,77.11992,SO2,8.0,24.0,13.0
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",18-02-2025 21:00:00,28.6514781,77.1473105,PM2.5,59.0,279.0,149.0
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",18-02-2025 21:00:00,28.60909,77.0325413,PM10,74.0,208.0,150.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",18-02-2025 21:00:00,28.570173,76.933762,NH3,9.0,12.0,10.0
India,Delhi,Delhi,"Narela, Delhi - DPCC",18-02-2025 21:00:00,28.822836,77.101981,SO2,4.0,8.0,6.0
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",18-02-2025 21:00:00,28.5918245,77.2273074,OZONE,11.0,90.0,58.0
India,Delhi,Delhi,"Mundka, Delhi - DPCC",18-02-2025 21:00:00,28.684678,77.076574,OZONE,10.0,88.0,62.0
